Date,Price,Open,High,Low,Volume,Change %
Jun 13 2019, 1368.80, 1362.80, 1368.80, 1362.80, 0.49K, 0.48%
Jun 12 2019, 1362.30, 1365.20, 1365.80, 1363.00, 0.59K, 0.40%
Jun 11 2019, 1356.90, 1350.50, 1356.10, 1350.50, 1.01K, 0.16%
Jun 10 2019, 1354.80, 1365.80, 1365.80, 1354.40, 0.31K, -1.14%
Jun 07 2019, 1370.40, 1359.60, 1376.10, 1359.60, 0.74K, 0.26%
Jun 06 2019, 1366.90, 1362.60, 1365.40, 1362.60, 1.33K, 0.60%
Jun 05 2019, 1358.80, 1364.00, 1364.00, 1364.00, 0.74K, 0.31%
Jun 04 2019, 1354.60, 1352.20, 1352.20, 1352.10, 0.31K, 0.09%
Jun 03 2019, 1353.40, 1342.40, 1355.50, 1342.40, 0.99K, 1.16%
May 31 2019, 1337.90, 1323.20, 1335.90, 1323.20, 0.17K, 1.36%
May 30 2019, 1319.90, 1307.90, 1312.70, 1307.90, 0.08K, 0.49%
May 29 2019, 1313.50, 1316.30, 1316.60, 1316.00, 0.46K, 0.25%
May 28 2019, 1310.20, 1304.30, 1304.30, 1304.30, 0.20K, 1.97%
May 27 2019, 1284.95, 1284.25, 1286.85, 1283.25, -, 0.06%
May 26 2019, 1284.15, 1284.20, 1285.15, 1283.65, -, -2.49%
May 24 2019, 1316.90, 1315.50, 1317.00, 1315.50, 0.07K, -0.13%
May 23 2019, 1318.60, 1311.90, 1319.30, 1311.90, 0.47K, 0.80%
May 22 2019, 1308.10, 1306.90, 1306.90, 1306.90, 1.62K, 0.09%
May 21 2019, 1306.90, 1304.80, 1304.90, 1302.90, 0.27K, -0.31%
May 20 2019, 1311.00, 1307.00, 1309.70, 1307.00, 0.08K, 0.15%
May 17 2019, 1309.00, 1318.90, 1320.70, 1309.80, 0.21K, -0.80%
May 16 2019, 1319.60, 1326.80, 1326.80, 1318.40, 0.11K, -0.83%
May 15 2019, 1330.70, 1332.60, 1334.00, 1329.50, 0.34K, 0.08%
May 14 2019, 1329.60, 1332.20, 1332.20, 1330.10, 0.20K, -0.44%
May 13 2019, 1335.50, 1321.90, 1335.50, 1319.20, 0.66K, 1.00%
May 10 2019, 1322.30, 1323.10, 1323.10, 1323.10, 0.05K, 0.16%
May 09 2019, 1320.20, 1319.20, 1319.20, 1319.20, 0.04K, 0.28%
May 08 2019, 1316.50, 1321.20, 1321.20, 1316.00, 0.30K, -0.33%
May 07 2019, 1320.90, 1315.10, 1315.10, 1314.80, 0.12K, 0.14%
May 06 2019, 1319.10, 1320.70, 1320.70, 1319.70, 0.01K, 0.17%
May 03 2019, 1316.80, 1315.40, 1315.40, 1314.90, 0.02K, 0.73%
May 02 2019, 1307.30, 1310.00, 1310.00, 1303.80, 0.04K, -0.91%
May 01 2019, 1319.30, 1321.30, 1322.00, 1317.40, 0.26K, -0.11%
Apr 30 2019, 1320.70, 1320.90, 1322.10, 1317.80, 0.21K, 0.31%
Apr 29 2019, 1316.60, 1284.80, 1284.90, 1277.10, 0.14K, -0.57%
Apr 26 2019, 1324.20, 1319.40, 1324.20, 1319.40, 0.38K, 0.68%
Apr 25 2019, 1315.20, 1310.50, 1310.50, 1310.50, 0.00K, 0.02%
Apr 24 2019, 1314.90, 1268.40, 1273.90, 1267.80, 0.15K, 0.47%
Apr 23 2019, 1308.70, 1309.40, 1309.40, 1306.70, 0.06K, -0.36%
